Coluna;"O que preencher? (Instruções)"
"Nome do Indicador";"Nome oficial do KPI. Ex: ""Índice de Satisfação do Usuário""."
"Conceito / Descrição";"Explicação do que o indicador mede."
"Unidade de Medida";"Ex: ""Percentual (%)"", ""Quantidade"", ""Valor (R$)"", ""Dias""."
"Fórmula de Cálculo";"Expressão matemática. Ex: ""(A / B) * 100""."
"Polaridade (Maior/Menor Melhor)";"""Positiva"" (maior é melhor), ""Negativa"" (menor é melhor) ou ""Estabilidade""."
Periodicidade;"Frequência de medição: ""Mensal"", ""Trimestral"", ""Semestral"", ""Anual""."
"Fonte de Dados";"Origem da informação. Ex: ""Sistema ERP"", ""Planilha de Controle""."
"Meta Global";"Valor alvo geral. Ex: ""95%""."
"Acumulado (Sim/Não)";"""Sim"" se os valores somam ao longo do ano, ""Não"" se o valor é pontual no mês."
"Tipo de Vínculo (Objetivo/Plano)";"Define se o indicador mede um Objetivo Estratégico ou um Plano de Ação."
"Nome do Vínculo";"Nome exato do Objetivo ou Plano ao qual este indicador pertence."
